Feature,Importance
Age,0.2859699435550036
Income,0.20986630002816054
InterestRate,0.19175302469334266
LoanAmount,0.12377673992746921
MonthsEmployed,0.09985165717116479
CreditScore,0.013169316900646743
EmploymentType_Full-time,0.01140152483397493
HasDependents_Yes,0.009872784446338264
HasCoSigner_No,0.009731181799870339
EmploymentType_Unemployed,0.0074235472229352605
NumCreditLines,0.00735041216918028
MaritalStatus_Married,0.0044530188865421
DTIRatio,0.004303486629192654
Education_High School,0.003842701433402452
LoanPurpose_Home,0.0037843941911972837
HasCoSigner_Yes,0.002820147479184825
HasDependents_No,0.0021749901544457313
HasMortgage_No,0.0020754203624140394
Education_PhD,0.001876032392348467
HasMortgage_Yes,0.00157826981456898
Education_Bachelor's,0.0012592344022170933
MaritalStatus_Divorced,0.0009310923493293628
Education_Master's,0.00038709938681970996
LoanPurpose_Business,0.00022490912010729
LoanTerm,6.999400371387564e-05
LoanPurpose_Auto,5.27766464291976e-05
EmploymentType_Part-time,0.0
MaritalStatus_Single,0.0
EmploymentType_Self-employed,0.0
LoanPurpose_Education,0.0
LoanPurpose_Other,0.0
